Card#,Artist,Title,URL,Hashed Info,Youtube-Title,Year
84,Lio,Les brunes comptent pas pour des prunes,https://www.youtube.com/watch?v=hkHF0xvQOok,b3bba882d43420ae88683cf38cb6d8aa117207fc97c7dad88b43d35aa29fb6fd,LIO - LES BRUNES COMPTENT PAS POUR DES PRUNES (clip officiel),1986
85,Bigflo et Oli,Dommage,https://www.youtube.com/watch?v=8AF-Sm8d8yk,3d5680633ce904f3c046215047ad0eb613958038e3cf91a93d8e7bd11b1b7fe1,Bigflo & Oli - Dommage,2017
86,Mika,"Relax, Take It Easy",https://www.youtube.com/watch?v=RVmG_d3HKBA,07f03f7236980c1ed3a95cdfdb6c592b7949fa22b7d02a9ed4b76fffe1125ee9,"MIKA - Relax, Take It Easy",2007
87,Aqua,Barbie Girl,https://www.youtube.com/watch?v=ZyhrYis509A,4ec84791e752727447fee9409ad9b992b875260dc520cb91a7fa812ef0b966e4,Aqua - Barbie Girl (Official Music Video),1997
88,Vianney,Pas là,https://www.youtube.com/watch?v=nBI0bDH8W28,9e1ed71f288c8a0b94bd7b8cf9b5984a24c4cc14859cf00926dc7f75659ff575,Vianney - Pas là,2015
89,Coolio et L.V.,Gangsta's Paradise,https://www.youtube.com/watch?v=fPO76Jlnz6c,e94a83636fe6eaf80bbd7ca71b0d57424b5f4f5fdad1110acfcfd9fd66b43d8c,Coolio - Gangsta's Paradise (feat. L.V.) [Official Music Video],1995
90,Dean Martin,That's Amore,https://www.youtube.com/watch?v=RUz1pZ_LujU,e8ddd124241e51c947511f90252fa9023e5f3d26f2ebb0703a425784fd548727,Dean Martin - That's Amore (Lyric Video),1953
91,Michael Jackson,Beat It,https://www.youtube.com/watch?v=oRdxUFDoQe0,a90217bb7ca27dcea43972bf3e20825e1f5b0a2a0e061ca01d522cb57f326ed7,Michael Jackson - Beat It (Official 4K Video),1983
92,Annie Lennox,Why,https://www.youtube.com/watch?v=HG7I4oniOyA,21355d917fe7ce492ce359dc7cce1fb225b119a856f90cda3fd6178fe7d3d421,Annie Lennox - Why (Official Music Video),1992
93,Julie Pietri,Eve lève-toi,https://www.youtube.com/watch?v=PDOxbkj6KXg,9c785f94c43c209e50f72a2739edcbe496f6426806a02772da72878dc704d2c5,Julie Pietri - Eve lève toi (Clip Officiel - avec paroles),1986
94,The Beatles,Let It Be,https://www.youtube.com/watch?v=CGj85pVzRJs,77075b917be278b1d48ed7e581eeb85c88f00b232e5ec84b271b82f6bc1333ef,The Beatles - Let It Be,1970
95,Red Hot Chili Peppers,Under The Bridge,https://www.youtube.com/watch?v=GLvohMXgcBo,0e49a9153d69eaf48a351487d70e5ef54902a5b31ffbed0df6bebb6c81cf4fc3,Red Hot Chili Peppers - Under The Bridge [Official Music Video],1992
96,Britney Spears,Oops!... I Did It Again,https://www.youtube.com/watch?v=CduA0TULnow,65c7bdbc7c33c64fc34c3ccca6a7bb3378610c7d57e89c6ee401f2f0ada38572,Britney Spears - Oops!...I Did It Again (Official HD Video),2000
97,Oasis,Wonderwall,https://www.youtube.com/watch?v=6hzrDeceEKc,b6a62577e27dc43b094b65ec176b777a1290181d402c6bb87aaa8d42f80ef0e6,Oasis - Wonderwall (Official Video),1995
98,Tweenty One Pilots,Stressed Out,https://www.youtube.com/watch?v=pXRviuL6vMY,bd401f98ccf899e67c96cdca808b41e8959bdad82965ad910b4bd59459541380,twenty one pilots: Stressed Out [OFFICIAL VIDEO],2015
99,Spice Girls,Stop,https://www.youtube.com/watch?v=5JD6ejmlpa8,5e7ebfd261089369cd98c071aac6b350e188ddaafc988438855509970975c78e,Spice Girls - Stop (Official Music Video),1998
100,Marvin Gaye,I Heard It Through The Grapevine,https://www.youtube.com/watch?v=cXWHpbpNdHE,163b1ee735c3a0de926b259ae491667c0f840011c52541e39ae5578f893e7407,Marvin Gaye - I Heard It Through The Grapevine (Lyric Video),1968
101,Lady Gaga,Poker Face,https://www.youtube.com/watch?v=BvJSig2WhnY,ed57df5a63302b7cfc405d7af4be93ba5020fb30f0cd568abd24ca25d3ff7b6d,Lady Gaga - Poker Face (Lyrics),2008
102,Gilbert Montagné,Les sunlights des tropiques,https://www.youtube.com/watch?v=2p_AxoaHeRw,67001b711290b0ced2190e69b084a8c19d13ed6bc3ea2aa3765faba106d36c1e,Gilbert Montagné - Les sunlights des tropiques (Official Lyric Video),1985
103,Sinsémilia,Tout le bonheur du monde,https://www.youtube.com/watch?v=dGBQUcQZmYQ,52523d8ab32322b116d4546adf928f13f46053c699884c9ce9a518376782df9e,SINSEMILIA  - Tout Le Bonheur Du Monde - Original version  (Clip Officiel📽️),2004
104,Ace Of Base,All That She Wants,https://www.youtube.com/watch?v=d73tiBBzvFM,91dd79382514510ddd81d9f37d7cc1965e1e4c69f5f3a2396863be6bb6489c19,Ace of Base - All That She Wants (Official Music Video),1992
105,Elvis Presley,Jailhouse Rock,https://www.youtube.com/watch?v=gj0Rz-uP4Mk,fd7b194712712626a7ed2409980c844bf4b192a2b0aebf3d19d52e5fe58903f6,Elvis Presley - Jailhouse Rock (Music Video),1957
106,Michel Berger,La groupie du pianiste,https://www.youtube.com/watch?v=_hQrpgVK-r0,eddf162e954fdaa6f49b15eb2664d5d04058accac1f8698f90c3bf7134c9ddd4,La groupie du pianiste (Remasterisé en 2002),1980
107,"Patrick Fiori, Garou et Daniel Lavoie",Belle,https://www.youtube.com/watch?v=FVnxKAoFzBg,53263741694bc4915b21636fb19c4c68bbadb1de80b5e3458001a84548287fa0,"Notre Dame De Paris - BELLE - Garou, Daniel, Lavoie & Patrick Fiori",1998
108,Chantal Goya,Un lapin,https://www.youtube.com/watch?v=eD-sqt5rA9g,ec50744a7fd44f4c0ca6125996e8a36a255a3b08310bedad093599ba784afb19,"Chantal Goya ""Un lapin"" | Archive INA",1977
109,Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),https://www.youtube.com/watch?v=eH3giaIzONA,2a38108f11e8e1028e4c0a66ab6770017bbcf393125e5cf0e35d9ad3598e5705,Whitney Houston - I Wanna Dance With Somebody (Official 4K Video),1987
110,Ritchie Valens,La Bamba,https://www.youtube.com/watch?v=Coy8Hoa1DNw,53b115a4bb6e71e161af3088ce3e80718980154541f85e56a01fc55c35280b47,RITCHIE VALENS-LA BAMBA,1958
111,Suylvie Vartan,La plus belle pour aller danser,https://www.youtube.com/watch?v=sfiuaOWjEkI,2c570898f77eddde072f766c4e7a0544a5155f9bd3fa3040310666a65826d48d,Sylvie Vartan ~ La Plus Belle Pour Aller Danser,1964
112,Tayc,N'y pense plus,https://www.youtube.com/watch?v=-kG7RlDD7tg,a856528104a65f878a2e104eef674db682c68e34f030f7d3f1ffba36ffd23109,Tayc - N'y pense plus,2020
113,DJ Snake et Justin Bieber,Let Me Love You,https://www.youtube.com/watch?v=SMs0GnYze34,39efca0aaa584590a3faf8c86fabfa34adb0c5fae8ab4657d1292aab7ab06a4a,DJ Snake ft. Justin Bieber - Let Me Love You [Lyric Video],2016
114,Chuck Berry,Johnny B. Goode,https://www.youtube.com/watch?v=Y-9Y4CCIWnM,20e6747d2c32126085ae2aab4de77393427258a51b4985fec9cdd21b0c605750,Johnny Be Goode,1958
115,Billie Eilish,Bad Guy,https://www.youtube.com/watch?v=DyDfgMOUjCI,a6e671aa955457d414965697762f99048311a10f1f2684718a963041033e7da3,Billie Eilish - bad guy,2019
