Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
83,Only Time,Enya,2000,https://www.youtube.com/watch?v=7wfYIMyS_dI,a9c98f0722f37ad5274d3b8aa4ac6944f2e4a976f1a9378d4013555dd607340e,Enya - Only Time (Official 4K Music Video),GBAHT0005349
84,Reptilia,The Strokes,2003,https://www.youtube.com/watch?v=b8-tXG8KrWs,2e880f499730a4a65374b9b6724d3d5325c9cfb1a4c2beb2c4da8f6de052aae1,The Strokes - Reptilia (Official HD Video),USRC10301519
85,Du hast den Farbfilm vergessen,Nina Hagen,1974,https://www.youtube.com/watch?v=mZzIEOvXXLg,0452f2dd24ab2f127c2171ac04ef13881485de8fef3a1976da49b2540927a522,Nina Hagen - Du hast den Farbfilm vergessen 1974,DEC739900124
86,Che Sarà,José Feliciano,1971,https://www.youtube.com/watch?v=oyWNAJJ1WBI,5df3ec5c95933a14fd04fb8e5510b1d7ee55a6c879f866b6d21a0452bb693487,Que Sera Sera,PEMG99632004
87,Telepatía,Kali Uchis,2020,https://www.youtube.com/watch?v=K-py_fW08c4,be1b9b912eca03e61f86c12a48a97e64a8f881b578234f46856f4b5858de5a07,Kali Uchis - telepatía (Official Lyric Video),GBUM72005748
88,You Can't Hurry Love,The Supremes,1966,https://www.youtube.com/watch?v=ovoBi3pXD_A,fc2d23805de89b0143f281a9bc7e651a98f290abacf8cd8ad88dc21aea35e4d6,The Supremes - You Can't Hurry Love (Lyric Video),USMO16600346
89,Common People - Full Length Version,Pulp,1995,https://www.youtube.com/watch?v=yuTMWgOduFM,57b9cabbd3113bcf49960ef8c53e8dc65973c64440abdf9c9c815c91362edefc,Pulp - Common People,GBAAN9500078
90,Back To Black,Amy Winehouse,2006,https://www.youtube.com/watch?v=TJAfLE39ZZ8,053469cee7ecdc2416af5438480f074d19155d0c90e378db96dd24227d17797e,Amy Winehouse - Back To Black,GBUM70604698
91,Leichtes Gepäck,Silbermond,2015,https://www.youtube.com/watch?v=ohHJjPSsW8c,9aac4fff564d39f37ead32561bf49d16e00758b81a1d4261a93eac16d08016b1,SILBERMOND - Leichtes Gepäck (Offizielles Musikvideo),DEE861500869
92,Around the World (La La La La La) - Radio Version,A Touch Of Class,2000,https://www.youtube.com/watch?v=Se237UXFKlQ,1acae41e3468113d510efbce3c5ced0789da019444212bd15a07b395c3852386,A Touch Of Class - Around the World (La La La La La) (Official Video),DEP810000008
