Card#,Title,Artist,URL,Youtube-Title,Hashed Info
76,"Rigoletto: ""La Donna E' Mobile""",Enrico Caruso,https://www.youtube.com/watch?v=RZNkoRb2iLQ,Enrico Caruso - La Donna e Mobile (Remastered),02724062dc5e32725d955acab8c7538c102c1a99bc1cec8a242d1af680d790c4
77,Without You (feat. Sandro Cavazza),"Avicii, Sandro Cavazza",https://www.youtube.com/watch?v=As_4JTmHuW4,Without You,63db1b86c7e1cbbaa9a119ccab0902772316defbb0e6387fa512ea37bc8e3124
78,Volare (Nel Blu di Pinto di Blu),Gipsy Kings,https://www.youtube.com/watch?v=X8TOhb_4jU0,Gipsy Kings - Volare (Nel Blu di Pinto di Blu) (Official HD Video),9ce3db1bfeb26833f296d4b2ecce7a8fc32227d71fbe21d0f20bdefb23a08a15
79,Ca plane pour moi,Plastic Bertrand,https://www.youtube.com/watch?v=8soQkubMk1g,Plastic Bertrand  - Ça plane pour moi (Official Audio),4baa33a01c8b3eead7250993c318c6262c4765ef01b3915e8397af4d7919cd71
80,Born to Be Alive,Patrick Hernandez,https://www.youtube.com/watch?v=9UaJAnnipkY,Patrick Hernandez - Born to Be Alive - Official Video (Clip Officiel),4a7126a0e1032e034f45a0ce3291fc3d1aa964425d73a44f6b940f2bbccc70de
81,Whole Lotta Love,Led Zeppelin,https://www.youtube.com/watch?v=HibBnC6SVk8,Led Zeppelin - Whole Lotta Love (Official Audio),30d553d7512c51985ff1cae6519cb9119734935691d7689a6281e0e4a1dae062
82,Ein Kompliment,Sportfreunde Stiller,https://www.youtube.com/watch?v=C4uXGzFZjqw,Sportfreunde Stiller - Ein Kompliment,2411e3a35f2946acfdc7a51f4ce31f5b5d6ebebaaebbda3360e657217271a4b7
83,In the Mood,Glenn Miller,https://www.youtube.com/watch?v=_CI-0E_jses,Glenn Miller - In The Mood [HQ],e24beb9f344c9954df260fec870d23f3b1f6cb28487391f0218e13d4854b3f64
84,Wahnsinn,Wolfgang Petry,https://www.youtube.com/watch?v=ExgfgiW-BJI,Wahnsinn (2021 Remastered),552930f82dcd4b982899719a2875b0eecf3b8d5c7911a9bf41fca8f824688672
85,Counting Stars,OneRepublic,https://www.youtube.com/watch?v=hT_nvWreIhg,OneRepublic - Counting Stars,4f9e977754083f330a1272b1f6d399f5f484cc6cbe51491dd4dd6496fce3de11
86,Dragostea din tei,O-Zone,https://www.youtube.com/watch?v=YnopHCL1Jk8,O-Zone - Dragostea Din Tei [Official Video],777d355af42786f9708a42a03afde035af9c70a419194e6d7bc297f396aee20d
87,Everybody Hurts,R.E.M.,https://www.youtube.com/watch?v=5rOiW_xY-kc,R.E.M. - Everybody Hurts (Official Music Video),36d011566e94a929767c8b897410faf784facc175cab94f9bbe559770d7540d1
88,Just Give Me a Reason (feat. Nate Ruess),"Pink, Nate Ruess",https://www.youtube.com/watch?v=OpQFFLBMEPI,P!nk - Just Give Me A Reason ft. Nate Ruess,40299bbd43cbba7d1f76a9ba902f804af314fde714fbe5c08aad9481e72403cf
89,Joyride,Roxette,https://www.youtube.com/watch?v=xCorJG9mubk,Roxette - Joyride (Official Video),c6079429a3075801a21f542944b1ba3db95e930ae6b4242b1227f5d477a4fef6
90,(We're Gonna) Rock Around The Clock,Bill Haley & His Comets,https://www.youtube.com/watch?v=Rr3hP8NQ9KM,Rock Around the Clock (Remastered),a9603025408e167f880040a8a2ad1e4227c9880b8409a775c496a773897a9ca6
91,Bette Davis Eyes,Kim Carnes,https://www.youtube.com/watch?v=EPOIS5taqA8,Kim Carnes - Bette Davis Eyes,a63f4194bb7cc82342705f7cf4da11fa23c63528be13e0709bbcc195a6c66b51
92,Lambada,Kaoma,https://www.youtube.com/watch?v=iyLdoQGBchQ,Kaoma - Lambada (Official Video) 1989 HD,1e2a5209d82e86adec26543755857b74204ec1168380705266e44b23765b6ff2
93,Ain't Nobody,"Rufus, Chaka Khan",https://www.youtube.com/watch?v=uBnISf3Rjx8,Ain't Nobody,786c73a8f5a3c1d282dad32c4ff4061c4fec764e0ca125c11f09e0b22fedbb59
94,Have You Ever Seen The Rain,Creedence Clearwater Revival,https://youtu.be/u1V8YRJnr4Q?t=16,Creedence Clearwater Revival - Have You Ever Seen The Rain (Official),2ecb57d908ab20ba4c9ab4e8c7741d46ecb57d46dad17fdfc39d9e3891c84d3f
95,(I've Had) The Time of My Life,"Bill Medley, Jennifer Warnes",https://www.youtube.com/watch?v=4BQLE_RrTSU,"Bill Medley, Jennifer Warnes - (I've Had) The Time Of My Life (Official HD Video)",e64a7fa9c67ae33d4af3e5dd729884adb406a0d38fa58c84228edcf437ee2cd4
96,Piu bella cosa,Eros Ramazzotti,https://www.youtube.com/watch?v=eTOKcxIujgE,Eros Ramazzotti - Più Bella Cosa (Official Video),6c86461c1453510a66d32800a0c0c42363f231454308fd08c9c98a8c6e6c55d8
97,No Son Of Mine,Genesis,https://www.youtube.com/watch?v=cddQn1mZRfI,Genesis - No Son Of Mine (Official Music Video),0be62a3ed262129f0bdd2368b155e4de6c2490026e7bc6b97e150c21cef971f1
98,Happy,Pharrell Williams,https://www.youtube.com/watch?v=ZbZSe6N_BXs,Pharrell Williams - Happy (Video),7878bf7cbe23768f8a8f4b541acdee6f6a9edf95f761e3839b03082897a9d4fc
99,Wonderwall,Oasis,https://www.youtube.com/watch?v=FVdjZYfDuLE,Wonderwall (Remastered),8048295e218cc2632bf115afcb070617b374e672180dd7f0ed63fd5ffdb1e172
100,You Can't Hurry Love,The Supremes,https://www.youtube.com/watch?v=nq_TX5ZR0rU,You Can't Hurry Love (Mono),4fd29c710574084a562ab34b45e78331357225ac7d5fb684a19f4bcdd337f48a
101,Gold Digger,"Kanye West, Jamie Foxx",https://www.youtube.com/watch?v=6vwNcNOTVzY,Kanye West - Gold Digger ft. Jamie Foxx,a68f070659726466d67f15213b0a9e51160183cca90a34e6284e90cbb02ad867
102,Ich will Spass,Markus,https://www.youtube.com/watch?v=UW7lB7p0Eow,Markus - Ich will Spass (ZDF Hitparade 05.07.1982) (VOD),5bcef36af3b1bded7170dcda13efdc8996256d632749ac21561ec3614fee86ef
103,Lady - Hear Me Tonight,Modjo,https://www.youtube.com/watch?v=vRB1MLGEHSc,Modjo - Lady (Hear Me Tonight) (Radio Edit) (HQ),b7de8bd17e941a1ba60836ef68c6615ab5d5257e4d1efcabca7e02957eaaf304
104,She Drives Me Crazy,Fine Young Cannibals,https://www.youtube.com/watch?v=UtvmTu4zAMg,Fine Young Cannibals - She Drives Me Crazy (Official Video),0c7a6a595c2deee6409e0b92d0cf7c0d3a34ff2297bf4f29f2518ef1bc656239
105,Heimweh (Dort wo die Blumen blüh'n),Freddy Quinn,https://www.youtube.com/watch?v=CNwsXRsvVWE,Heimweh (Dort wo die Blumen blüh'n),dbdf0faf86bc492b77687204ac44b29a9869fa31dd58c76e34dc40ffb84eac41
106,Moskau,Dschinghis Khan,https://www.youtube.com/watch?v=EPdn9_h2dCY,Dschinghis Khan - Moskau (Live 1979 HD),9b308b77acd3ad55c2f6d26d89f2372ff0efd97b84eaaffecc0c3c3e15565618
107,Cotton Eye Joe,Rednex,https://www.youtube.com/watch?v=mOYZaiDZ7BM,Rednex - Cotton Eye Joe (Official Music Video) [HD] - RednexMusic com,d637f3c9f68734dbef99dd0800b99de1edbd0bf0f66241f49f200b66a41e4678
108,I Can Help,Billy Swan,https://www.youtube.com/watch?v=bgPsM-YWBrE,Billy Swan - I Can Help (Audio),f38f931369cc6616d25424b1ff3585ac72193ec0c867c80c7abea4979ce7b15f
109,Dancing In the Dark,Bruce Springsteen,https://www.youtube.com/watch?v=129kuDCQtHs,Bruce Springsteen - Dancing In the Dark (Official Video),4ac853f3ce1ead2aacbb4c19965824912b1256d848fad56d41a9c8c11102561c
110,Day-O (The Banana Boat Song),Harry Belafonte,https://www.youtube.com/watch?v=YO7M0Hx_1D8,Day O (Banana Boat Song),3aa3ea8f92208d8d33510adb6870a70dba08abc279b3d1c655a08a76f6254ee2
111,Ich will 'nen Cowboy als Mann,Gitte Haenning,https://www.youtube.com/watch?v=zOcyefACvws,Ich will 'Nen Cowboy Als Mann,1d428b4239931dba3f72c2752e4e7126e547348fe37b54c2916aaf1376e9b769
112,Break My Heart,Dua Lipa,https://www.youtube.com/watch?v=Nj2U6rhnucI,Dua Lipa - Break My Heart (Official Video),d9e434efde0a04e878c73b356dac6822f82ea6cf7f6d8df172be0c64be3b618a
113,Wrecking Ball,Miley Cyrus,https://www.youtube.com/watch?v=My2FRPA3Gf8,Miley Cyrus - Wrecking Ball (Official Video),65cb43cc6d82622bc75d273400f803e139d7fecdae4b7fbbee4b5963f63bfcba
114,Jailhouse Rock,Elvis Presley,https://www.youtube.com/watch?v=PpsUOOfb-vE,Elvis Presley - Jailhouse Rock (Official Audio),02242b58761eecaa7e201aefe62d48e2dd19cd3c0dae307f2ae401ec30cfb58a
115,Adore You,Harry Styles,https://www.youtube.com/watch?v=VF-r5TtlT9w,Harry Styles - Adore You (Official Video),e8998222d714f357acdc31576f39d67fd75abadb09cbb77de430365a3ea21ec1
116,Good Golly Miss Molly,Little Richard,https://www.youtube.com/watch?v=ZVQV-1Fzl3w,Little Richard - Good Golly Miss Molly,344de94cd6857a876944c49a57f5375afa9630f92ac13638a62c01d652ce4da2
117,The Ketchup Song (Aserejé),Las Ketchup,https://www.youtube.com/watch?v=V0PisGe66mY,Las Ketchup - The Ketchup Song (Asereje) (Spanish Version) (Official Video),2d2eaddd42a084ac2fc68b52eb9eb8c8e74e38bebcb6a9c166b976b5ac46bc88
118,"Relax, Take It Easy",MIKA,https://www.youtube.com/watch?v=RVmG_d3HKBA,"MIKA - Relax, Take It Easy",07f03f7236980c1ed3a95cdfdb6c592b7949fa22b7d02a9ed4b76fffe1125ee9
119,I'm a Believer,The Monkees,https://www.youtube.com/watch?v=4PQAqprjOuA,I'm a Believer,21d3dac8e7a7ac97bf491f7ff5ba02203dd8cdcfa9155e06c6053add1ec3896f
120,Schuld war nur der Bossa Nova,Manuela,https://www.youtube.com/watch?v=Gnmq27MCkFY,Schuld war nur der Bossa Nova,63d3a7eaae092abead2b99a0de8aec9c0e52cee6b55f5f8991d0d71be5947ba7
121,I Love It (feat. Charli XCX),"Icona Pop, Charli XCX",https://www.youtube.com/watch?v=UxxajLWwzqY,Icona Pop - I Love It (feat. Charli XCX) [OFFICIAL VIDEO],bf58948144d80df8b1175924b623af9d76f6229cfdb003d6087efa5c33a834a5
122,World Hold on (Children of the Sky),Bob Sinclair,https://www.youtube.com/watch?v=XpdpW0z9xnQ,Bob Sinclar - World Hold On (Official HD Video),75b36c8feb13bf8f15a35ca2277903f25791e5a27f91b4e25d4376d19cf9a1c7
123,Born To Be Wild,Steppenwolf,https://www.youtube.com/watch?v=93fAJe8WVjA,Born To Be Wild,1eacb6a1259de601de99851ad0e9e1881c499f00dba9a122943f2df049fcd6d7
