Card#,Title,Artist,URL,Hashed Info,Youtube-Title,Year
293,Küss' die Hand schöne Frau,EAV (Erste Allgemeine Verunsicherung)
294,Freundschaftsring,"Anna-Maria Zimmermann, Olaf Henning"
295,Sieben Tage,Die Flippers
296,Wieder Alles im Griff,Jürgen Drews
297,Heimweh,Plüsch
298,Hinter den Kulissen von Paris,Mireille Mathieu
299,Gloria,Nik P.
300,Schatzi schenk mir ein Foto,Mickie Krause
301,Ich wünsch' mir 'ne kleine Miezekatze,Wum's Gesang
302,Noch in 100.000 Jahren,DJ Ötzi
303,Is was,Jürgen von der Lippe
304,Ich bau dir ein Schloss,Jürgen Drews
305,"Verliebt, verlobt, verflixt nochmal",Beatrice Egli
306,"'54, '74, '90, 2006",Sportfreunde Stiller
307,Du Du Du,Vincent Gross
308,Mein Herz schlagt Schlager,Vanessa Mai
